Sales,Month,AgeInMonths,ProfileInMonths,Subscribed,NumPrevOrders,AvgSpend,POSR,OPR,Online,Discount,ShippingOption,Platform,Payment,Ad_1,Ad_2,Ad_3,SocialMedia,ShippingPayment,Category,DayOfWeek,Province
707.55,December,491,13,,7,786.25,2.7,0.64,34,26,Express,Computer,EFT,No,No,Yes,,Free,electronics,Wednesday,FS
1668.01,March,305,56,Weekly,39,925.86,1.9,0.55,58,31,Express,Computer,Credit Card,Yes,No,Yes,Instagram,Free,electronics,Friday,NC
811.17,July,527,5,,10,573.9,0.8,0.75,43,0,Express,Android,Account Credit,No,Yes,Yes,,Free,electronics,Saturday,WC
1155.29,April,530,10,,10,731.69,4.1,0.71,38,34,Standard,Android,EFT,No,Yes,No,,Free,electronics,Saturday,WC
669.82,December,403,46,Daily,42,619.2,7.9,0.91,57,0,Express,Computer,EFT,Yes,No,No,Facebook,Free,electronics,Thursday,MP
1004.34,April,495,19,Monthly,9,681.09,5.9,0.98,42,0,Standard,Computer,Credit Card,No,Yes,Yes,,Free,electronics,Friday,FS
634.06,December,457,53,Daily,46,533.33,4.7,0.56,33,0,Premium,Computer,Credit Card,No,Yes,No,,Free,books,Sunday,GP
588.07,July,381,50,Weekly,40,786.4,2.3,0.55,46,0,Premium,iOS,Credit Card,No,No,Yes,,Free,books,Friday,NC
812.88,May,378,33,,38,559.1,5.2,0.96,61,0,Express,Android,Credit Card,No,Yes,Yes,,Free,clothing,Thursday,WC
819.22,October,350,24,,27,612.34,2.5,0.79,60,0,Premium,iOS,Account Credit,Yes,No,Yes,Twitter,Free,electronics,Sunday,NW
943.18,February,385,20,Monthly,12,667.24,3.2,0.95,55,0,Standard,Computer,PayPal,Yes,No,Yes,Twitter,Free,groceries,Sunday,NC
1006.73,February,389,10,Monthly,7,632.51,4.2,0.89,45,37,Standard,Android,EFT,Yes,No,Yes,Instagram,Free,clothing,Tuesday,MP
704.44,January,473,51,,48,505.95,2.9,0.81,49,36,Standard,Computer,Credit Card,No,Yes,No,,Free,groceries,Sunday,NC
919.82,November,506,13,Daily,11,730.03,7.1,0.72,51,11,Premium,Computer,PayPal,No,Yes,No,,Free,electronics,Tuesday,EC
816.49,August,434,24,,26,487.64,4.9,0.65,55,0,Standard,Computer,EFT,No,Yes,No,,Free,groceries,Sunday,NW
1180.68,November,347,36,,27,1082.59,3.6,0.51,67,34,Standard,Computer,Credit Card,Yes,No,Yes,Instagram,Free,clothing,Wednesday,WC
806.59,February,380,39,,31,516.92,6,0.87,74,0,Premium,Computer,Credit Card,No,No,Yes,,Free,clothing,Saturday,KZN
733.81,July,477,5,Daily,7,512.61,7.5,1,46,0,Express,Computer,EFT,No,Yes,No,,Free,electronics,Wednesday,EC
797,October,337,21,,26,617.02,1.5,0.54,54,0,Premium,Computer,EFT,Yes,No,No,Instagram,Free,electronics,Monday,GP
886.09,March,424,57,,48,796.54,7.1,0.73,45,0,Express,Computer,Credit Card,Yes,Yes,No,Facebook,Free,electronics,Friday,GP
615.73,November,404,8,,15,549.16,3.6,0.89,38,0,Premium,Computer,Credit Card,No,No,Yes,,Free,electronics,Sunday,WC
1346.82,February,582,13,,10,982.39,4.7,0.57,44,0,Express,Computer,Credit Card,No,No,Yes,,Free,clothing,Wednesday,WC
652.06,February,434,29,,28,541.51,5.2,0.7,24,0,Express,Android,PayPal,No,No,Yes,,Free,household,Saturday,MP
1250.66,October,377,31,,30,1063.4,5.5,0.51,67,0,Express,Computer,Credit Card,No,Yes,Yes,,Free,clothing,Tuesday,MP
